File Generated by PerfectPitch
 - Generated at: 2024-01-18 21:58:58.666386
 - Sample frequency: 44100.0
 - Total duration: 0.0
 - BPM: 240

52 nan 167.30485922577816 0.5 
52 nan 167.32515669254397 0.5 
53 nan 176.86551417946058 0.5 
55 nan 198.73490418226325 0.5 
55 nan 198.58904786430205 0.5 
53 nan 176.86324849529743 0.5 
52 nan 167.30738324956766 0.5 
50 nan 149.1704497908776 0.5 
48 nan 132.6467559821624 0.5 
48 nan 132.55689710640476 0.5 
50 nan 149.2375268150794 0.5 
52 nan 167.23886013530264 0.5 
52 nan 167.49990995258236 0.5 
51 nan 154.8660320880713 0.5 
50 nan 149.55408177918162 0.5 
52 nan 167.1113318184258 0.5 
52 nan 167.0636203545522 0.5 
53 nan 176.6706004618485 0.5 
55 nan 198.89721178893777 0.5 
53 nan 176.52668561890002 0.5 
52 nan 167.1474757325386 0.5 
50 nan 149.33671300479557 0.5 
49 nan 137.43544612944132 0.5 
49 nan 136.4322570052873 0.5 
50 nan 149.15562346179618 0.5 
52 nan 167.13853203306513 0.5 
50 nan 149.11662650002023 0.5 
49 nan 136.4023731582748 0.5 
